run,V,8,9,3,These dyes and colors are guaranteed not to run .,Due to sun exposure the color of the blouse ran .,The sale will run for ten days .,F,
see,V,2,1,3,Now I see !,I see your point .,I want to see whether she speaks French .,F,
drive,V,0,7,3,Drive the cows into the barn .,"Cattle were no longer taken on long drives, but were delivered by rail .",Their debts finally drove them to sell the business .,F,
bit,N,1,,7,A bit of lint .,,The horse was not accustomed to a bit .,F,
stir,V,0,,0,Stir the soil .,,Stir emotions .,F,
trace,V,0,,0,Trace your path .,,Trace the outline of a figure in the sand .,F,
body,N,8,,1,"Penny was in the scullery , pressing the body of her new dress .",,Heavenly body .,F,
hold,V,1,,0,I hold with those who say life is sacred .,,Hold all calls to the President 's office while he is in a meeting .,F,
build,V,0,,0,Build a reputation .,,Build detergents .,F,
smooth,V,0,,0,Smooth the way towards peace negotiations .,,Smooth the surface of the wood .,F,
carry,V,1,,2,We carry a very large mortgage .,,The troops carried the town after a brief fight .,F,
house,N,4,,9,The children were playing house .,,She felt she had to get out of the house .,F,
break,V,0,,2,Break a law .,,Her voice broke to a whisper when she started to talk about her children .,F,
catch,V,0,,2,Catch the mood .,,Do n't catch your meaning .,F,
vegetate,V,2,,3,The fields vegetate vigorously .,,The bacterial growth vegetated along .,F,
drag,N,4,,3,Peeling potatoes is a drag .,,He took a drag on his cigarette and expelled the smoke slowly .,F,
score,N,11,,2,He tried to blame the victim but his success on that score was doubtful .,,Settling a score .,F,
head,N,3,,6,She gave great head .,,They tracked him back toward the head of the stream .,F,
breath,N,4,,6,He took a deep breath and dived into the pool .,,I could feel the runner 's breath on my shoulder .,F,
stuff,N,4,,5,What is all that stuff on your bedroom floor ?,,You do n't have the stuff to be a United States Marine .,F,
raise,V,0,,0,Raise a mutiny .,,Raise the roof .,F,
fire,N,4,,4,We sat around the fire singing songs and telling stories .,,Barbecue over an open fire .,F,
start,V,0,,1,Start a new job .,,I start my day with a good breakfast .,F,
do,V,0,,5,Do nothing .,,A ' B ' grade does n't suffice to get me into medical school .,F,
cut,V,0,,0,Cut a check .,,Cut the rope .,F,
ream,V,0,,2,Ream oranges .,,The dentist reamed out the debris in the course of the root canal treatment .,F,
run,V,2,,0,Do n't run that software unless you have permission . ' .,,Run rogue .,F,
keep,V,2,,3,May God keep you .,,The student was kept after school .,F,
work,V,0,,2,Work one 's way through the crowd .,,She never worked because she inherited a lot of money .,F,
draw,V,0,,0,Draw water for a bath .,,Draw parallels .,F,
make,V,1,,1,Clothes make the man .,,He made to speak but said nothing in the end .,F,
admit,V,10,,1,We 'll have to vote on whether or not to admit a new member .,,He admitted his guilt .,F,
take,V,3,,1,You ca n't take credit for this !,,We took an apartment on a quiet street .,F,
make,V,0,,2,Make a mess in one 's office .,,She 'll make a fine president .,F,
stake,V,2,,0,I will stake my good reputation for this .,,Stake your goat .,F,
order,N,6,,8,The machine is now in working order .,,A friend in New Mexico said that the order caused no trouble out there .,F,
stuff,N,3,,1,There 's good stuff in that book .,,The stuff of heros .,F,
raise,V,0,,0,Raise a smile .,,Raise your ` o ' .,F,
place,N,5,,4,If you were in my place what would you do ?,,He has a special place in my thoughts .,F,
take,V,0,,2,Take steps .,,Shall we take a guide in Rome ?,F,
head,N,5,,1,They say he gives good head .,,The head of the list .,F,
place,N,3,,7,He overstepped his place .,,He put the lamp back in its place .,F,
raise,V,0,,0,Raise the question of promotions .,,Raise from the dead .,F,
fall,V,0,,1,Fall by the wayside .,,Christmas falls on a Monday this year .,F,
keep,V,0,,0,Keep my job for me while I give birth .,,Keep a diary .,F,
defense,N,1,,5,In defense he said the other man started it .,,The artillery battered down the defenses .,F,
give,V,0,,1,Give homage .,,She gave herself to many men .,F,
restraint,N,2,,0,The unlawful restraint of trade .,,Restraints imposed on imports .,F,
hold,V,2,,6,He can hold his liquor .,,"To carry well , i.e. to hold the head high , with arching neck .",F,
visit,V,3,,2,Did you ever visit Paris ?,,The principal visited his rage on the students .,F,
line,N,2,,4,A nice line of shoes .,,They were arrayed in line of battle .,F,
make,V,3,,0,What do you make of his remarks ?,,Make a mistake .,F,
point,N,4,,3,Life has lost its point .,,He broke the point of his pencil .,F,
cover,V,4,,2,The grant does n't cover my salary .,,The President covered the fact that he bugged the offices in the White House .,F,
run,V,0,,5,Run a subject .,,I 'm not ready to run a marathon .,F,
accept,V,3,,1,I can not accept your invitation .,,We accept the idea of universal health care .,F,
contact,N,0,,3,Contact with the pier scraped paint from the hull .,,The pilot made contact with the base .,F,
carry,V,4,,2,Put down 5 and carry 2 .,,I am carrying his child .,F,
cut,V,3,,0,Would you please cut the cake ?,,Cut a hole .,F,
side,N,5,,2,It brought out his better side .,,The Confederate side was prepared to attack .,F,
draw,V,0,,2,Draw a weapon .,,A ship draws ten feet of water .,F,
wall,N,1,,3,A wall of prejudice .,,The container 's walls were blue .,F,
carry,V,2,,7,These bonds carry warrants .,,The dog was taught to fetch and carry .,F,
turn,V,0,,1,Turn the corner .,,We turned from Socialism to Capitalism .,F,
carry,V,7,,0,The dog was taught to fetch and carry .,,Carry a cause .,F,
radiate,V,1,,2,Spokes radiate from the hub of the wheel .,,The heat radiates from a stove .,F,
choke,V,0,,2,Choke a carburetor .,,The pirate choked the sailor to death .,F,
connect,V,4,,2,"Operator , could you connect me to the Raffles in Singapore ?",,These computers connected well .,F,
give,V,3,,2,The French doors give onto a terrace .,,The wall gave in .,F,
return,N,12,,2,His gross income was enough that he had to file a tax return .,,On his return from Australia we gave him a welcoming party .,F,
action,N,4,,6,He is out of action .,,The piano had a very stiff action .,F,
head,N,5,,7,Tickets are $ 5 per head .,,We will consider performance issues under the head of future improvements .,F,
hand,N,3,,1,"On the one hand ... , but on the other hand ...",,All hands on deck .,F,
turn,V,0,,2,Turn your face to the wall .,,The people turned against the President when he stole the election .,F,
world,N,4,,2,He sailed around the world .,,All the world loves a lover .,F,
ride,V,1,,1,I ride to work in a bus .,,She rode a wave of popularity .,F,
take,V,1,,0,We take the Times every day .,,Take action .,F,
work,V,4,,2,This dough does not work easily .,,Can you work an electric drill ?,F,
come,V,0,,3,Come into contact with a terrorist group .,,Where did you come from ?,F,
fire,V,5,,1,"In warfare , whoever opens fire first has a greater chance of victory .",,Surrender fires the cold skepticism .,F,
cover,V,0,,1,Cover the grave with flowers .,,She covered herself with glory .,F,
point,N,3,,3,What is the point of discussing it ?,,He stuck the point of the knife into a tree .,F,
play,N,5,,2,It was all done in play .,,Rain stopped play in the 4th inning .,F,
chance,N,3,,3,You take a chance when you let her drive .,,We had the chance to meet the president last week .,F,
cup,N,7,,3,He swore as the ball rimmed the cup and rolled away .,,He drank a cup of coffee .,F,
drop,N,1,,3,A drop of each sample was analyzed .,,They expected the drop would be successful .,F,
plug,V,0,,3,Plug the wall .,,He attempted to plug the leaks with some caulk .,F,
mean,V,9,,2,The sky is red this morning� does that mean we 're in for a storm ?,,My ex-husband means nothing to me .,F,
washout,N,12,,6,It was several days after the storm before they could repair the washout and open the road .,,From the house they watched the washout of their newly seeded lawn by the water .,F,
make,V,0,,4,Make lead into gold .,,How much do you make a month in your new job ?,F,
run,V,4,,2,The crowd had to run away from the burning structure with only the clothes on their backs .,,Who 's running for treasurer this year ?,F,
thing,N,6,,3,How could you do such a thing ?,,He has a thing about seafood .,F,
make,V,0,,1,Make a phone call .,,They make a cute couple .,F,
house,N,1,,3,The house gets a percentage of every bet .,,He has a house on Cape Cod .,F,
custody,N,6,,4,He was mistreated while in police custody .,,The suspect is in custody .,F,
respect,N,10,,5,"He is an intellectual giant , and I have great respect for him .",,Be sure to give my respects to the dean .,F,
strike,V,1,,2,Please strike this remark from the record .,,We must strike the enemy 's oil fields .,F,
take,V,3,,3,I used to take The Sunday Times .,,You ca n't take credit for this !,F,
continue,V,3,,3,We can not continue several servants any longer .,,The bad weather continued for two more weeks .,F,
play,V,0,,0,Play the stock market .,,Play cards .,F,
sum,N,1,,1,The sum of all our troubles did not equal the misery they suffered .,,The sum of forty pounds .,F,
cut,V,1,,1,She cut the deck for a long time .,,Soap cuts grease .,F,
work,N,8,,3,Mastering a second language requires a lot of work .,,He arrived at work early today .,F,
take,V,3,,0,I used to take The Sunday Times .,,Take action .,F,
cut,V,1,,0,She cut the deck for a long time .,,Cut a disk .,F,
place,N,1,,5,Your place or mine ?,,If you were in my place what would you do ?,F,
law,N,3,,1,There is a law against kidnapping .,,"By law , one is not allowed to own a wallaby in New York City .",F,
tumble,V,5,,1,Wash in warm water and tumble dry .,,They tumbled the teams with no apparent pattern .,F,
play,N,1,,4,The play lasted two hours .,,They made a futile play for power .,F,
check,N,6,,6,He paid all his bills by check .,,He asked the waiter for the check .,F,
piece,N,4,,3,It was a nice piece of work .,,He needed a piece of granite .,F,
move,V,1,,1,To move in a matter .,,She moved the queen closer to the centre of the board .,F,
see,V,2,,3,Let 's see ,,,F,
reduce,V,0,,0,Reduce an image .,,Reduce one 's standard of living .,F,
take,V,0,,3,Take an opportunity .,,The escaped convict took to the hills .,F,
pack,V,3,,0,You had better pack your swollen ankle with ice .,,Pack the faucet .,F,
part,N,5,,2,He wanted to feel a part of something bigger than himself .,,The rear part of the house .,F,
edge,N,4,,4,His voice had an edge to it .,,She sat on the edge of the bed .,F,
take,V,1,,1,I take aspirin every day to thin my blood .,,Hitler took the Baltic Republics .,F,
be,V,2,,4,I may be an hour .,,When will the meeting be ?,F,
touch,N,2,,5,The cooling touch of the night air .,,This piano has a wonderful touch .,F,
pull,V,0,,0,Pull one 's horse to a stand .,,Pull the ball .,F,
catch,V,2,,4,Did you catch a cold ?,,The fashion did not catch .,F,
see,V,3,,1,We had to see a psychiatrist .,,He saw action in Viet Nam .,F,
make,V,0,,2,Make advances .,,She 'll make a fine president .,F,
realization,N,2,,4,A growing realization of the risk involved .,,The victory was the realization of a whole year 's work .,F,
head,N,3,,6,He stuck his head out the window .,,They tracked him back toward the head of the stream .,F,
touch,N,4,,6,He longed for the touch of her hand .,,This room needs a woman 's touch .,F,
stick,V,0,,2,Stick the corner of the sheet under the mattress .,,The friends stuck together through the war .,F,
occupy,V,5,,1,The young prince will soon occupy the throne .,,He occupies two rooms on the top floor .,F,
go,V,5,,2,It 's your turn ; go .,,"The gun went "" bang "" .",F,
dress,V,0,,1,Dress the windows .,,Marlene dressed herself .,F,
polish,V,0,,1,Polish your social manners .,,He polished up the chrome until it gleamed .,F,
give,V,0,,1,Give thought to .,,I gave two sons to the war .,F,
school,N,8,,3,He did n't miss a single day of school .,,He walked to school every morning .,F,
strike,V,0,,3,Strike ` z ' on the keyboard .,,The horse finally struck a pace .,F,
make,V,0,,1,Make a cake .,,He made twenty bucks playing poker last night .,F,
break,V,0,,3,Break a branch from a tree .,,The business partners broke over a tax question .,F,
academy,N,1,,2,The Academy of Music .,,The American Academy of Arts and Sciences .,F,
head,N,7,,6,I 've got to go to the head .,,This song keeps going through my head .,F,
ground,N,6,,5,They fought to regain the lost ground .,,The worm crawls through the ground .,F,
spread,N,5,,1,They put out quite a spread .,,The spread between lending and borrowing costs .,F,
draw,V,0,,2,Draw a conclusion .,,The doctors drew medical supplies from the hospital 's emergency bank .,F,
fall,V,4,,2,The hills around here fall towards the ocean .,,His eyes fell .,F,
business,N,2,,5,We do business all over the world .,,He bought his brother 's business .,F,
object,N,2,,1,The sole object of her trip was to see her children .,,The object of the verb .,F,
order,N,4,,2,It was on the order of a mile .,,Law and order .,F,
breath,N,2,,3,His sour breath offended her .,,The child 's breath came quickly and unevenly .,F,
break,V,0,,0,Break the code .,,Break a branch from a tree .,F,
shock,N,4,,8,He had an unruly shock of black hair .,,The train hit the buffers with a great shock .,F,
piece,N,5,,3,He 's packin ' a piece !,,He needed a piece of granite .,F,
assume,V,3,,2,Mr. Jones will assume the position of a lifeguard until a proper replacement is found .,,The queen assumed the stately robes .,F,
shock,N,5,,4,Subjects received a small electric shock when they made the wrong response .,,It came as a shock to learn that he was injured .,F,
end,N,1,,1,The end of the year .,,One end of the box was marked ` This side up ' .,F,
cast,V,1,,0,Who cast this beautiful movie ?,,Cast a vote .,F,
get,V,2,,3,We 'll get them !,,She did n't get the joke .,F,
hold,V,1,,0,To hold true .,,Hold that position behind the trees !,F,
glimpse,N,7,,4,From the window he could catch a glimpse of the lake .,,"I only got a glimpse of the car , so I can tell you the colour but not the registration number .",F,
open,V,0,,2,Open a business .,,The door opened .,F,
product,N,6,,1,That store offers a variety of products .,,The product of 2 and 3 is 6 .,F,
change,N,3,,5,She brought a change in her overnight bag .,,The product is undergoing a change in order to improve it .,F,
lie,V,2,,2,Do n't lie to your parents .,,The snow lies on the roof . ,F,
demand,V,1,,2,I demand an explanation .,,This position demands a lot of personal sacrifice .,F,
art,N,6,,3,He said that architecture is the art of wasting space beautifully .,,How great thou art !,F,
line,N,2,,6,A dedicated line .,,The letter consisted of three short lines .,F,
check,V,1,,1,Please check each name on the list .,,She checked for an instant and missed a step .,F,
lead,N,2,,5,A good lead for a job .,,They did n't follow our lead .,F,
get,V,4,,3,The operator could n't get Kobe because of the earthquake .,,What did you get at the toy store ?,F,
roll,V,0,,2,Roll your hair around your finger .,,The thunder rolled .,F,
invitation,N,3,,3,She threw the invitation away .,,She was an invitation to trouble .,F,
go,V,8,,5,This violinist is as good as Juilliard,,trained violinists go .,F,
drift,V,0,,3,Drift the cattle herds westwards .,,The balloon was drifting in the breeze .,F,
work,V,5,,2,This old radio does n't work anymore .,,This pilot works the controls .,F,
lift,V,0,,0,Lift an embargo .,,Lift potatoes .,F,
crash,V,2,,2,Let 's crash the party !,,The economy crashed .,F,
patch,N,2,,3,A cabbage patch .,,Does n't that patch of clouds looks like a bunny ?,F,
swing,V,5,,2,The soccer player began to swing at the referee .,,This action swung many votes over to his side .,F,
gather,V,0,,12,Gather some stones .,,"If you want to emphasise the shape , it is possible to gather the waistline .",F,
number,N,10,,7,In English the subject and the verb must agree in number .,,I hope to become one of their number before I die .,F,
run,N,7,,5,The defensive line braced to stop the run .,,The team enjoyed a brief run of victories .,F,
touch,V,10,,2,"Can he reach ? "" "" The chair must not touch the wall .",,Their hands touched .,F,
advance,V,2,,1,Can you advance me some money ?,,To advance one 's interests .,F,
form,N,3,,9,Sculpture is a form of art .,,"To apply for the position , complete the application form .",F,
go,V,2,,4,Messages must go through diplomatic channels .,,The speech has to go through several more drafts .,F,
finish,N,2,,6,His best finish in a major tournament was third .,,It was a fight to the finish .,F,
head,N,6,,4,A reduction in the assessment per head of sheep .,,He was at the head of the column .,F,
land,N,5,,4,They come from a faraway land .,,He returned to the land of his birth .,F,
reduce,V,0,,0,Reduce a problem to a single question .,,Reduce one 's standard of living .,F,
bank,V,4,,0,The pilot had to bank the aircraft .,,Bank a fire .,F,
splash,N,3,,4,I heard a splash when the rock landed in the pond .,,He made a great splash and then disappeared .,F,
check,V,0,,0,Check the time of the class .,,Check the oil in your car once a month .,F,
give,V,0,,3,Give the orders .,,The French doors give onto a terrace .,F,
art,N,0,,4,Art does not need to be innovative to be good .,,It 's quite an art .,F,
see,V,3,,4,I went to see my friend Mary the other day .,,This program will be seen all over the world .,F,
carry,V,4,,2,Put down 5 and carry 2 .,,This paper carries a restaurant review .,F,
give,V,0,,1,Give a course .,,She gave the boy a good spanking .,F,
time,N,4,,4,We had a wonderful time at the party .,,I did n't have time to finish .,F,
track,V,0,,1,Track a missile .,,I tracked prints .,F,
product,N,3,,4,This is a product of lime and nitric acid .,,His reaction was the product of hunger and fatigue .,F,
come,V,0,,3,Come into the room .,,The first success came three days later .,F,
control,N,1,,3,The control condition was inappropriate for the conclusions he wished to draw .,,I turned the controls over to her .,F,
give,V,0,,3,Give priority to .,,The French doors give onto a terrace .,F,
float,V,0,,2,Float the plaster .,,The balloon floated off into the distance .,F,
make,V,0,,1,Make a move .,,They make a cute couple .,F,
play,V,0,,1,Play a hooked fish .,,He played $ 20 on the new horse .,F,
practice,N,4,,5,I took over his practice when he retired .,,It is not the local practice to wear shorts to dinner .,F,
inwardness,N,0,,2,"Inwardness is what an Englishman quite simply has , painlessly , as a birthright .",,"Socrates ' inwardness , integrity , and inquisitiveness""",F,
date,N,1,,7,His date never stopped talking .,,We have n't heard from them to date .,F,
feast,N,3,,2,We had a feast to celebrate the harvest .,,The Thanksgiving feast .,F,
section,N,1,,2,A section of a fishing rod .,,The finance section of the company .,F,
tramp,N,2,,1,A homeless tramp .,,The tramp of military boots .,F,
make,V,0,,2,Make an estimate .,,Can you make me an omelette ?,F,
run,V,3,,1,The sale will run for ten days .,,They ran twenty blood tests on me and they still do n't know what 's wrong .,F,
break,V,0,,4,Break the cycle of poverty .,,The first winter storm broke over New York .,F,
notice,N,1,,3,A notice of sale .,,"He took no notice of the changes , and went on as though nothing had happened .",F,
break,V,0,,2,Break a promise .,,The surf broke .,F,
mixture,N,3,,2,He drank a mixture of beer and lemonade .,,A gradual mixture of cultures .,F,
keep,V,2,,0,Can I keep my old stuffed animals ?,,Keep smiling .,F,
cut,V,6,,4,The glass from the shattered windshield cut into her forehead .,,The new tooth is cutting .,F,
break,V,3,,3,I had to break a $ 100 bill just to buy the candy .,,His voice is breaking ,F,
make,V,0,,0,Make one 's way into the forest .,,Make yourself clear .,F,
emission,N,1,,1,The emission of heat from a fire .,,The emission was mostly blood .,F,
catch,V,11,,4,I have some free time tonight so I think I 'll catch a movie .,,The fashion did not catch .,F,
repair,V,1,,1,To repair a shattered fortune .,,To repair to sanctuary for safety .,F,
excuse,N,4,,9,He 's a sorry excuse of a doctor .,,He had to get his mother to write an excuse for him .,F,
touch,V,5,,8,The local Mafia wo n't touch gambling .,,Are you all right ? You 've hardly touched your lunch .,F,
dent,N,3,,4,It made a dent in my bank account .,,The crash produced a dent in the left side of the car .,F,
keep,V,3,,2,Where do you keep your gardening tools ?,,These potatoes keep for a long time .,F,
take,V,0,,2,Take a risk .,,I 'll take that plate off the table .,F,
see,V,3,,1,I want to see whether she speaks French .,,I saw their laughing and joking .,F,
hold,V,6,,1,The general ordered the colonel to hold his position at all costs .,,He held the governorship for almost a decade .,F,
break,N,1,,5,The break in the eighth frame cost him the match .,,They hoped to avoid a break in relations .,F,
head,N,2,,1,Under the head of minor Roman poets .,,The head of the hammer .,F,
run,N,5,,4,The team enjoyed a brief run of victories .,,"Yesterday we did a run of 12,000 units .",F,
grain,N,5,,1,He does not have a grain of sense .,,A grain of sand .,F,
fill,V,0,,2,Fill a container .,,The liquid fills the container .,F,
get,V,3,,4,She did n't get his name when they met the first time .,,Her childish behavior really get to me .,F,
push,N,6,,1,He gave the door a hard push .,,The push of the water on the walls of the tank .,F,
heat,V,0,,0,Heat the house .,,Heat the water on the stove .,F,
draw,V,0,,1,Draw a conclusion .,,"She drew $ 2,000 from the account .",F,
fall,V,0,,3,Fall into a trap .,,The barometer is falling .,F,
size,N,3,,5,That 's the size of the situation .,,A wolf is about the size of a large dog .,F,
stand,V,2,,1,"Here I stand , wondering what to do next .",,There stood on the corner a statue .,F,
reason,N,1,,3,The reason that war was declared .,,They had good reason to rejoice .,F,
cut,V,0,,0,Cut orders .,,Cut a caper .,F,
occasion,N,1,,3,An occasion arranged to honor the president .,,There was no occasion for complaint .,F,
draw,V,10,,3,"At the start of their turn , each player must draw a card .",,The session was drawn to a close .,F,
come,V,2,,1,These shoes come in three colors .,,He came through the door .,F,
space,N,5,,5,They stopped at an open space in the jungle .,,It all happened in the space of 10 minutes .,F,
turn,V,0,,1,Turn the legs of the table .,,People turn to mysticism at the turn of a millennium .,F,
set,V,0,,2,Set up an experiment .,,The moon sets at eight o'clock tonight .,F,
patch,V,0,,3,Patch the skirt .,,The field was patched with snow .,F,
center,N,5,,5,His stories made him the center of the party .,,They had to reinforce the center .,F,
drive,V,2,,3,Can you drive this four,,wheel truck ?,F,
run,V,4,,1,The crowd had to run away from the burning structure with only the clothes on their backs .,,She ran her fingers along the carved figurine .,F,
work,V,4,,1,Do you want to work after the age of 60 ?,,He works his parents for sympathy .,F,
place,N,7,,4,He put the lamp back in its place .,,He has a special place in my thoughts .,F,
study,N,9,,4,He knocked lightly on the closed door of the study .,,He is a quick study .,F,
degree,N,2,,10,A remarkable degree of frankness .,,Most humans have a field of vision of almost 180 degrees .,F,
stretch,N,8,,2,I was right in the middle of a stretch when the phone rang .,,There were stretches of boredom .,F,
keep,V,0,,0,Keep count .,,Keep appointments .,F,
left,N,2,,3,The political left is not holding enough power .,,Jab with your left .,F,
baby,N,3,,1,When is your baby due ?,,The baby of the family .,F,
make,V,1,,2,To make like a deer caught in the headlights .,,He will make a splendid father !,F,
run,V,0,,3,Run a temperature .,,Let the dogs run free .,F,
area,N,1,,3,The area of a rectangle .,,The spacious cooking area provided plenty of room for servants .,F,
draw,V,0,,0,Draw on a cigarette .,,Draw wire .,F,
carry,V,2,,2,I always carry money .,,The troops carried the town after a brief fight .,F,
night,N,3,,5,From noon till night .,,The cat disappeared into the night .,F,
make,V,0,,3,Make a mistake .,,This invention will make you a millionaire .,F,
water,N,7,,6,"He showed me the river of living water , sparkling like crystal , flowing from the throne of God .",,He asked for a drink of water .,F,
ride,V,1,,1,I ride to work in a bus .,,Ship rides at anchor .,F,
opening,N,6,,1,A salamander darted out of an opening in the rocks .,,The opening received good critical reviews .,F,
begin,V,4,,2,You can not even begin to understand the problem we had to deal with during the war .,,The semester begins with a convocation ceremony .,F,
play,V,0,,1,Play with her feelings .,,He plays on three teams .,F,
serve,V,1,,2,They serve a restricted role on the bench .,,The minister served the King for many years .,F,
work,V,0,,4,Work stone into tools .,,How does your idea work in practice ?,F,
get,V,2,,1,We 'll get them !,,He got his arm broken in the scuffle .,F,
make,V,1,,2,To make like a deer caught in the headlights .,,This wool makes into a nice sweater .,F,
beachhead,N,9,,4,The Germans were desperately trying to contain the Anzio beachhead .,,The town became a beachhead in the campaign to ban smoking outdoors .,F,
leave,N,4,,3,A ten day 's leave to visit his mother .,,Might I beg leave to accompany you ?,F,
beat,V,2,,1,The boat beat in the strong wind .,,I beat the traffic .,F,
movement,N,1,,4,The movement of cargo onto the vessel .,,He had a bowel movement .,F,
do,V,3,,5,What will you do this afternoon ?,,A ' B ' grade does n't suffice to get me into medical school .,F,
line,N,1,,4,The line of soldiers advanced with their bayonets fixed .,,He has a smooth line but I did n't fall for it .,F,
behave,V,2,,5,Do n't behave like a fool .,,The children must learn to behave .,F,
school,N,2,,8,The whole school turned out for the game .,,He did n't miss a single day of school .,F,
see,V,2,,3,I can see a risk in this strategy .,,We went to see the Eiffel Tower in the morning .,F,
break,V,3,,1,I had to break a $ 100 bill just to buy the candy .,,Someone broke in while I was on vacation .,F,
feel,V,2,,1,I can feel the sadness in his poems .,,He felt his flesh crawl .,F,
cut,V,2,,0,The Vietnamese cut a lot of timber while they occupied Cambodia .,,Cut recording tape .,F,
line,N,4,,2,He has a smooth line but I did n't fall for it .,,Toe the line .,F,
